ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11550562,JB571505,12/28/2018 18:46,002XX S WABASH AVE,810,THEFT,OVER $500,RESTAURANT,TRUE,FALSE,113,1,42,32,6,1176848,1899284,2018,4/12/2019 16:00,41.8789805,-87.62610509,"(41.8789805, -87.626105087)",22,"14,912",38,367,36,29,22,126
11549495,JB570527,12/28/2018 17:50,074XX N CLARK ST,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,TRUE,FALSE,2424,24,49,1,6,1163065,1949329,2018,1/10/2019 15:16,42.01660711,-87.67530276,"(42.016607113, -87.675302757)",3,"21,853",10,489,5,9,11,33
11549323,JB570356,12/28/2018 15:30,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1023,10,28,31,6,1159824,1889315,2018,1/10/2019 15:16,41.85199252,-87.68888874,"(41.85199252, -87.688888738)",11,"14,920",32,263,23,43,21,159
11549447,JB570452,12/28/2018 14:50,001XX E SUPERIOR ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1833,18,2,8,6,1177497,1905400,2018,1/10/2019 15:16,41.89574842,-87.62353635,"(41.895748419, -87.623536353)",22,"21,182",37,158,36,6,14,74
11549246,JB570297,12/28/2018 14:00,032XX N ASHLAND AVE,890,THEFT,FROM BUILDING,GROCERY FOOD STORE,FALSE,FALSE,1922,19,44,6,6,1165085,1921399,2018,1/10/2019 15:16,41.93992341,-87.6686672,"(41.939923405, -87.668667203)",38,"4,449",57,678,25,22,5,19
11549174,JB570217,12/28/2018 13:55,014XX N MILWAUKEE AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1424,14,1,24,6,1163449,1910044,2018,1/10/2019 15:16,41.90879922,-87.6750004,"(41.90879922, -87.675000403)",24,"21,560",25,482,41,4,7,200
11549309,JB570378,12/28/2018 13:55,0000X E DELAWARE PL,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1833,18,2,8,6,1176296,1906628,2018,1/10/2019 15:16,41.89914529,-87.62791022,"(41.899145291, -87.627910223)",22,"21,182",37,104,36,6,14,71
11549545,JB570382,12/28/2018 13:25,001XX W MADISON ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,122,1,42,32,6,1175421,1900363,2018,1/10/2019 15:16,41.88197349,-87.6313123,"(41.881973488, -87.631312304)",22,"14,311",38,92,36,34,22,79
11549149,JB570157,12/28/2018 13:00,013XX W CERMAK RD,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,1235,12,25,31,6,1167845,1889541,2018,1/10/2019 15:16,41.85244373,-87.65944306,"(41.852443726, -87.659443059)",8,"14,920",33,126,26,43,15,158
11549187,JB570115,12/28/2018 12:45,004XX W MARQUETTE RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,722,7,6,68,6,1174441,1860502,2018,4/3/2019 16:04,41.77261337,-87.63609871,"(41.772613371, -87.636098706)",31,"21,559",66,435,32,11,17,201
11549283,JB570331,12/28/2018 12:30,0000X N MICHIGAN AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,112,1,42,32,6,1177309,1900530,2018,1/10/2019 15:16,41.88238916,-87.62437461,"(41.882389156, -87.624374606)",22,"14,309",38,580,36,41,22,87
11549706,JB570823,12/28/2018 12:30,0000X E OHIO ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1834,18,42,8,6,1176817,1904214,2018,1/10/2019 15:16,41.89250939,-87.62606972,"(41.892509386, -87.626069718)",22,"21,182",37,626,36,6,14,74
11549614,JB570324,12/28/2018 12:09,083XX S KEDZIE AVE,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,834,8,18,70,6,1156493,1849305,2018,1/10/2019 15:16,41.74226749,-87.70219262,"(41.742267488, -87.702192623)",6,"4,300",69,199,30,8,13,226
11549030,JB570057,12/28/2018 11:40,0000X W RANDOLPH ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,111,1,42,32,6,1176046,1901283,2018,1/10/2019 15:16,41.88448397,-87.62898961,"(41.884483968, -87.628989611)",22,"14,310",38,92,36,41,22,88
11549167,JB570174,12/28/2018 11:32,014XX W TAYLOR ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1231,12,28,28,6,1166970,1895687,2018,1/10/2019 15:16,41.86932768,-87.6624783,"(41.869327681, -87.662478296)",8,"14,917",29,758,23,44,15,136
11549904,JB570180,12/28/2018 10:30,002XX S STATE ST,860,THEFT,RETAIL THEFT,RESTAURANT,FALSE,FALSE,113,1,42,32,6,1176418,1899146,2018,1/10/2019 15:16,41.87861153,-87.62768812,"(41.878611533, -87.627688116)",22,"14,912",38,367,36,29,22,126
11548983,JB569944,12/28/2018 10:05,012XX N LARRABEE ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1822,18,27,8,6,1172111,1908362,2018,1/10/2019 15:16,41.90399688,-87.64323024,"(41.903996883, -87.643230238)",41,"14,926",37,108,46,54,14,199
11549039,JB569879,12/28/2018 9:30,047XX N CENTRAL AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1623,16,45,15,6,1138146,1930974,2018,1/10/2019 15:16,41.96672861,-87.76744511,"(41.966728607, -87.767445112)",20,"21,869",15,94,50,48,12,43
11548819,JB569784,12/28/2018 6:45,004XX W DIVISION ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1821,18,27,8,6,1173175,1908290,2018,1/10/2019 15:16,41.90377576,-87.63932407,"(41.903775756, -87.639324074)",41,"14,926",37,148,46,54,14,51
11549484,JB569804,12/28/2018 5:50,017XX W 79TH ST,610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,FALSE,FALSE,611,6,17,71,5,1166231,1852313,2018,1/10/2019 15:16,41.75032034,-87.66642704,"(41.750320344, -87.666427043)",17,"21,554",70,573,31,59,20,231
11550227,JB571352,12/28/2018 3:40,017XX N HALSTED ST,620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,FALSE,FALSE,1813,18,2,7,5,1170692,1911691,2018,1/10/2019 15:16,41.91316305,-87.64834489,"(41.913163051, -87.648344888)",51,"21,190",68,168,34,16,14,189
11548697,JB569677,12/28/2018 0:52,002XX W 103RD ST,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,TRUE,FALSE,511,5,9,49,6,1176618,1836644,2018,1/10/2019 15:16,41.70709533,-87.62883442,"(41.707095328, -87.628834415)",45,"21,861",45,569,22,19,10,256
11548671,JB569651,12/27/2018 23:47,083XX S COTTAGE GROVE AVE,610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,FALSE,FALSE,632,6,8,44,5,1183013,1849827,2018,1/3/2019 16:09,41.74312508,-87.60500769,"(41.743125083, -87.605007694)",9,"21,546",40,141,35,61,20,241
